TotalTime,PictureClicks,PictureTime,DescriptionClicks,DescriptionTime,ReviewClicks,ReviewTime,DwellingTime,Return
79525,4,22274,1,19330,7,4460,7735,0
11359,2,1058,1,7052,3,419,1058,1
23583,4,22742,2,11075,3,7409,6461,0
22296,4,15707,0,1088,3,11367,1187,1
43530,0,9129,1,10525,3,731,9129,1
41727,4,12154,2,8274,0,5979,12154,1
35485,5,6287,3,13829,9,29387,6287,0
43053,1,4421,2,9836,2,7919,4421,1
61648,4,19259,2,7799,10,10451,17474,0
78589,5,10075,2,12797,10,24034,10075,0
19799,2,2656,2,17384,9,26312,10775,1
35006,1,6291,2,6272,0,10025,6291,1
59987,4,24597,2,7448,9,20852,5061,0
32635,3,16925,2,10119,0,7068,7259,1
33221,0,5977,2,9909,4,20466,10775,1
69615,3,29047,2,19284,4,7008,25378,0
24922,4,13795,3,16392,11,10524,12317,0
35815,3,5921,1,11916,5,15990,5921,0
33210,2,14614,0,10659,2,6594,6645,1
53151,5,19043,2,4465,9,8607,5386,0
58393,0,28119,3,9775,3,27453,10775,1
23987,5,24088,3,8573,15,26504,19490,0
20013,3,17271,0,5329,2,8995,9998,1
22444,4,18137,2,4833,8,5837,18137,0
20438,4,2709,0,12779,1,8764,2709,1
30765,4,23473,1,19675,14,16550,17815,0
54792,5,7628,3,6919,8,20402,7628,0
27106,4,28947,3,5621,12,24381,9272,0
51083,3,17962,1,14425,8,23429,12996,0
10680,4,2107,1,3843,3,694,918,1
54082,4,9212,2,5988,9,11303,9212,0
56150,5,18966,1,15587,5,23962,14179,0
58742,5,16337,3,5674,9,8068,16337,0
51993,4,9917,2,8372,5,17778,9917,0
43909,2,19296,0,8168,3,11286,12039,1
43454,4,2526,0,2735,3,11748,2526,1
38452,5,10786,3,19018,12,15360,10786,0
45418,3,28138,3,10447,10,26642,5208,0
27364,3,5793,3,10711,8,19911,5793,0
29736,4,15441,1,11167,7,5162,15441,0
66603,5,20880,3,18679,15,10297,14706,0
32147,2,7288,1,10367,3,2451,4368,1
22268,4,17421,2,8621,3,5776,3435,1
21206,1,13418,2,2992,3,1182,13418,1
34099,3,11881,2,339,2,7732,11881,1
61657,4,4579,1,5714,0,524,10775,1
13862,4,4937,1,6403,1,2883,3929,1
55242,5,14383,1,16493,8,23057,2600,0
34937,4,11256,2,19667,10,27607,11256,0
75137,3,16701,1,6057,4,12676,9872,0
42026,4,15375,2,4748,0,7998,6740,1
26496,3,29573,3,4722,5,23559,25109,0
12496,3,79,0,7660,13,9881,10775,1
58016,4,14173,2,14818,12,27670,14173,0
56133,3,27866,2,4201,10,24066,10535,0
23386,4,10442,2,4782,2,4221,8762,0
6539,2,16142,0,7213,1,6877,6701,1
19650,0,2984,2,12204,1,13515,2984,1
71620,3,26863,1,13957,14,10508,14321,0
69416,3,20510,1,12783,14,28759,20510,0
68593,4,20416,3,16622,10,29787,11704,0
59314,5,21425,2,4227,5,27141,21425,0
69911,5,9353,3,9351,9,11688,9353,0
14127,3,14914,1,10691,3,4571,1426,1
30829,0,6103,1,921,0,2595,4954,1
10872,3,1143,2,8268,2,12888,1143,1
41675,3,27415,3,4621,11,6988,22655,0
78333,2,12342,2,19425,15,23148,4111,1
18691,4,1320,2,10576,2,166,1320,1
30306,2,27848,3,11210,2,20967,815,0
4098,2,13860,1,13018,1,13002,13860,1
21492,1,2782,2,2657,1,11387,2782,1
52914,5,27998,1,15294,14,17492,12324,0
43927,5,28266,2,3473,4,26069,10775,1
22490,3,11786,2,7883,11,17453,11786,0
10112,4,10029,0,14122,1,1615,10029,1
36518,3,16874,1,12774,1,1602,3238,1
34614,3,21522,3,11549,11,25100,6357,0
33500,3,5670,1,14773,3,14127,5670,1
50114,0,15096,3,13426,6,29293,1690,1
65239,4,26454,2,9237,6,21969,13690,0
6735,4,10231,2,3429,3,259,3402,1
9202,3,8679,1,7501,0,7267,8679,1
20848,2,15996,1,371,2,9803,4075,1
4484,0,13765,2,9851,1,7882,11246,1
53729,3,21262,1,4985,3,21932,5580,0
8900,0,4226,0,1982,3,12676,4226,1
4113,0,19539,2,13232,3,9640,9544,1
44260,3,16011,1,6076,1,9232,4405,1
57586,3,16178,1,7325,5,15673,16178,0
38184,0,19530,2,8215,1,9888,4484,1
35892,3,16837,1,8118,10,26524,16837,0
36700,0,13726,1,8222,3,7576,7453,1
7030,1,5549,2,2657,1,10208,5220,1
31279,5,16356,2,17281,7,22342,16069,0
28795,3,211,2,4633,1,6305,211,1
40615,1,8669,1,3946,8,8350,10775,1
64068,4,13147,2,9891,5,25287,13147,0
42776,1,19671,1,10573,0,9600,10528,1
65331,1,538,3,873,0,17414,10775,0
76998,5,21303,3,13685,2,5647,15187,0
76995,5,28423,2,13674,15,9468,27005,0
41999,0,15117,1,12991,1,1520,10668,1
42139,3,18572,2,6749,3,3591,6371,1
55927,4,9830,2,18882,4,13313,5397,0
26782,1,26358,0,15251,11,7042,10775,1
32399,0,14138,1,645,2,14129,7436,1
57056,5,10283,2,11743,14,15925,10283,0
34740,2,15456,2,2673,3,2838,6002,1
35744,5,8607,2,8208,9,21297,8607,0
41590,3,13124,0,13275,1,11180,13124,1
13821,1,4900,2,13469,0,7114,4900,1
13256,2,12395,1,12049,3,14593,5899,1
49830,4,22061,1,10647,8,17374,22061,0
25074,5,14686,2,11010,14,21464,10775,0
37805,3,2383,1,1502,1,5660,2383,1
6137,2,20815,3,8853,14,12993,5779,0
2179,3,23698,0,1951,3,21902,10775,1
54074,3,20937,3,8601,15,8606,11267,0
66014,2,10172,3,11904,13,3549,10775,0
42514,3,7999,3,13343,4,7118,7999,0
78758,4,25106,1,16033,9,28412,17559,0
23195,4,17909,1,8506,2,17497,10775,1
20014,0,1510,0,1665,2,4174,1510,1
73166,3,16146,2,16186,3,6682,16146,0
46186,3,12387,2,17205,7,4535,12387,0
49990,5,28315,3,11716,9,6307,24374,0
9412,3,14839,1,9376,2,7529,11618,1
13504,2,5861,1,7603,2,14561,5861,1
45571,5,15965,1,12941,4,20423,15965,0
25259,4,13811,2,18537,11,4430,13811,0
12172,0,7354,1,2564,3,2390,7354,1
38564,5,24748,2,17025,4,11046,6920,0
43599,4,5679,2,11394,3,6857,143,1
25552,3,27038,2,19336,12,20580,25231,0
26603,3,13256,2,7455,3,9919,7324,1
32376,0,15970,2,14073,3,12751,13229,1
32647,2,5181,1,11263,3,13227,5181,1
30482,3,29458,1,8404,5,11282,11517,0
26145,1,7438,0,8707,6,28992,10775,0
48669,3,11393,3,4032,13,21800,10775,1
65305,0,4842,3,6648,15,4092,5729,1
35439,3,12763,2,7882,0,12371,4666,1
24019,1,1171,1,11815,0,2596,1171,1
18425,3,470,2,9869,3,3508,470,1
36348,5,24114,2,7731,12,17599,14070,0
66924,0,13896,2,11125,7,15859,10775,0
36077,4,5169,3,14145,15,7862,5169,0
78889,3,7984,1,16037,8,18418,7984,0
8525,3,14682,2,18473,6,872,7474,0
57403,5,26917,2,5706,4,5000,9345,0
49741,3,19326,1,13361,8,27642,17806,0
56632,5,25222,1,5450,6,5102,20675,0
13565,1,5929,0,12126,2,5809,5929,1
26608,2,5321,2,1286,0,13978,5321,1
40269,5,7954,2,6106,12,21574,7954,0
36206,0,3090,2,717,3,7495,3090,1
75057,3,26076,1,6403,2,11496,6061,0
5288,1,12553,1,4555,0,5847,10177,1
29342,4,9304,1,13825,2,5241,7946,1
52931,3,23977,1,6750,9,7716,7658,0
47576,4,24631,3,13922,5,11211,16079,0
63553,4,7712,1,8455,10,22096,7712,0
22366,2,6887,0,850,0,6013,6887,1
72426,5,23640,3,6247,9,17644,23224,0
35027,2,6182,1,3391,2,8516,826,1
78872,4,6474,1,15717,3,15387,6474,0
65623,3,18107,1,19814,2,9658,14221,0
6433,1,654,1,1653,3,10992,654,1
47832,4,23760,3,9448,7,18382,20434,0
68194,3,17789,2,17125,8,10807,11488,0
68527,5,24995,2,19398,13,11515,6316,0
55637,4,20094,2,12662,9,5635,20094,0
1509,3,7951,1,10609,14,9069,8418,0
34871,3,12742,2,6936,0,13735,1201,1
41312,3,1682,1,8433,1,14264,1682,1
46357,5,26027,1,4408,12,10246,13984,0
24296,2,11495,1,7921,0,7895,11495,1
27192,3,13529,2,1043,0,57,13529,1
4217,1,15052,0,8265,0,14873,11755,1
32657,4,6037,3,13194,3,16529,6037,0
34550,5,9053,2,14077,5,22869,9053,0
33995,2,1811,0,14961,2,10401,1811,1
17615,0,1959,0,600,2,3583,1959,1
11386,1,17531,1,14573,3,1944,14413,1
52568,4,5059,3,5241,13,28140,5059,0
21944,4,19479,1,10622,2,5641,14463,1
73843,5,27417,2,10585,15,15518,9785,0
38462,1,10631,0,12862,0,10230,10631,1
35265,2,11855,0,15354,12,21862,2801,0
47273,3,19967,1,5057,5,25587,19967,0
25514,5,8837,1,18119,7,6195,8837,0
14060,3,14122,1,13165,2,7688,2106,1
26325,4,15772,1,5768,2,6268,819,1
53051,3,21831,2,17398,11,20704,10775,0
30250,1,15743,2,6346,2,8503,13511,1
12815,0,4422,1,12858,0,27651,5191,1
13529,2,9231,2,15141,12,15458,2876,1
12250,4,13804,1,10294,1,3796,8940,1
76867,3,16060,2,18174,2,13616,16060,0
60704,5,21318,3,9572,9,26179,21318,0
27167,5,16661,2,9764,11,5359,16661,0
43998,5,9367,3,6066,11,23212,9367,0
29540,5,9495,3,13165,9,18386,9495,0
13492,3,14672,1,6806,2,13180,115,1
73320,4,16976,2,4689,2,18661,12311,0
68568,3,16934,1,4838,2,17829,9384,0
74217,3,8306,2,8426,3,16621,8306,0
73513,3,11953,2,15885,10,6396,11427,0
50059,4,24781,1,17335,8,5319,24781,0
13847,3,16837,2,1894,1,13693,14439,1
26015,0,14790,1,11443,3,12194,10982,1
61980,4,12219,1,19435,9,8669,12219,0
11035,3,17461,0,1278,0,9074,6581,1
77239,2,10362,0,12066,8,29154,7015,0
14486,4,14337,1,4723,0,3162,8465,1
25177,1,9707,0,10675,2,6876,9707,1
16623,4,11343,2,4020,3,830,11343,1
48874,5,13219,1,18041,2,18850,7831,0
9167,4,17936,2,13083,5,11017,10775,0
54810,4,18603,1,19530,10,20473,16312,0
19823,1,8594,0,2012,3,10518,8460,1
42025,1,3696,2,9953,3,8005,3696,1
13034,3,13014,0,12743,3,11011,7000,1
9124,3,12089,0,10448,3,13736,9760,1
25380,4,20924,2,12526,4,19226,12636,0
10165,0,2750,1,14113,0,9621,2750,1
7986,2,22756,3,9557,1,5811,2531,1
26409,3,14446,1,10299,4,23290,13383,0
33730,4,7502,2,11161,9,19909,7502,0
40705,0,13555,2,6817,0,11513,5583,1
78192,3,16820,3,18117,9,9475,5845,0
70894,3,13744,3,11734,10,16882,7351,1
13749,0,1333,0,10004,7,25062,10775,0
54267,5,12546,2,8218,5,26211,12546,0
23109,2,8007,0,13865,0,1432,2811,1
74259,4,21963,2,16885,15,9816,10762,0
8280,2,12689,2,1860,0,2325,1891,1
6319,5,16389,2,11042,14,12125,10775,1
24937,5,7834,1,6821,5,14784,7834,0
29120,3,25297,0,8778,3,27338,10775,0
79686,4,16512,2,4862,8,13230,12949,0
37896,3,18052,1,16977,3,28652,13709,0
22350,5,16563,2,18025,5,13363,16563,0
39547,4,968,0,2554,3,2553,968,1
13160,0,853,2,3465,1,7646,853,1
21784,3,23979,1,4571,6,6668,23979,0
21943,1,12342,0,10071,1,7294,6823,1
22882,0,2282,2,12183,1,9990,2282,1
54779,4,16287,3,7316,10,22427,12181,0
33987,2,25811,3,6304,4,19702,3469,1
33094,4,19578,1,761,1,3489,4642,1
28622,3,11862,2,7707,14,10444,11862,0
30827,3,9687,2,15861,12,22085,9687,0
23950,3,19080,1,7229,2,309,15013,1
34329,1,7633,1,12915,7,23504,10775,1
35430,4,7182,3,4447,8,24738,7182,0
74468,4,7918,3,4921,13,24066,7918,0
25943,1,10576,1,11111,2,3262,7341,1
22073,4,5812,3,11788,6,9155,5812,0
36345,3,17294,3,19969,11,9621,17294,0
36441,5,28653,1,9325,6,23040,9643,0
49149,3,26620,1,9664,11,26078,15706,0
79489,5,25878,2,7324,14,27167,17263,0
6712,4,11013,1,4920,3,12608,11013,1
11857,1,14788,1,2713,7,14287,10775,0
5290,0,1907,2,14154,0,10848,1375,1
32529,1,17344,2,1775,3,12862,11348,1
53916,5,15785,1,7543,14,5019,15785,0
79097,3,26802,1,7466,14,27097,25316,0
38947,4,15837,0,8342,2,1184,7127,1
35815,0,10533,2,8907,2,10684,192,1
26588,0,12844,2,10662,0,12597,12844,1
67938,4,14554,1,7303,11,21558,11993,0
9060,0,13857,0,3553,2,9886,12297,1
37123,3,5521,2,1649,3,11486,5521,1
29698,5,19502,1,8165,4,19439,19502,0
32530,0,6709,1,7588,1,12863,6709,1
56085,4,27634,2,7598,5,29648,18283,0
19462,3,5683,1,6236,3,12230,3923,1
78475,1,19442,3,7008,2,10341,10775,1
39593,2,16737,0,15703,1,7785,3258,0
43753,3,8148,2,6240,10,12556,8148,0
78590,5,8162,3,5939,14,11803,8162,0
60290,5,3320,3,5816,11,3247,3699,1
39417,3,5576,0,8919,1,1290,5576,1
31097,1,1754,0,2605,2,2241,1754,1
10295,1,10617,1,8856,0,9755,4049,1
51078,5,216,3,848,5,23794,1073,0
11875,0,27291,3,11646,7,7503,10775,0
43383,4,8691,1,2485,1,11551,8691,1
44490,0,15083,1,10292,0,8448,6624,1
12958,4,11170,2,11965,0,11639,11170,1
67726,3,15925,1,12567,3,22541,6839,0
57164,3,23412,2,14487,2,6877,5167,0
63025,4,12665,3,2019,4,15486,10775,1
69628,3,26766,1,13819,15,19467,10775,1
8594,2,6693,1,964,1,8560,6676,1
27877,0,19663,3,18458,7,9604,10775,0
61779,3,17627,3,12347,11,17071,8101,0
77029,2,27966,1,11351,15,27053,7907,0
35974,4,5470,1,4246,1,2353,2656,1
38562,4,27958,2,7788,6,5163,6682,0
42659,1,13972,2,12789,3,13026,49,1
16527,1,12886,0,11872,2,2173,11550,1
37101,5,22475,1,12642,14,16294,6199,0
42450,3,8317,2,4916,0,3860,8317,1
72150,3,17123,3,13817,6,20589,1753,0
27331,4,27276,1,6345,3,29818,17912,0
29783,3,653,0,6397,2,4608,653,1
23035,5,21005,3,9246,6,29818,9036,0
41078,2,8547,1,11083,2,5390,8547,1
64174,4,21723,2,10149,7,10841,20510,0
72765,5,16690,2,11552,6,21859,14407,0
15214,1,1222,0,624,1,4232,1222,1
68392,5,22033,2,17160,11,25378,17820,0
8973,5,26420,2,5607,13,3077,10775,0
16071,1,28300,1,17540,15,6521,10775,0
20029,4,29023,1,8092,15,19942,28782,0
52031,2,22641,0,1454,2,17268,10775,0
16331,4,10578,0,4430,0,2149,10578,1
26171,3,8021,1,2607,3,6015,8021,1
22651,4,8639,1,18057,8,19672,8639,0
22848,4,25463,1,12806,14,25970,8626,0
21876,1,5328,1,1925,0,8162,5328,1
30332,4,9374,1,14055,3,4220,9374,0
21111,4,3856,2,7537,1,10772,3856,1
42367,4,27497,1,11274,12,20783,9159,0
51553,1,5346,1,3225,5,16112,137,0
38036,3,5717,3,7875,6,12511,5023,0
39241,3,24000,2,10543,6,13980,19341,0
17833,3,3708,1,8009,1,7611,3708,1
24659,3,8530,3,19025,9,8402,8530,0
7642,0,13332,1,14717,2,4724,13332,1
68717,5,28867,3,13661,5,13047,16133,0
54808,3,25179,3,16370,2,6847,10484,0
20290,3,11439,2,12174,2,6578,11439,1
41650,3,5110,2,16036,2,22424,5110,0
21251,4,25749,1,16831,8,28568,8540,0
77893,0,12198,0,15523,2,4839,10775,0
35409,3,11129,0,2640,3,14613,10303,1
26861,1,16670,3,11786,9,23019,10775,1
13840,0,1507,1,590,1,185,1507,1
16867,3,753,2,1496,0,8973,753,1
66710,5,23116,3,8815,12,13601,7445,0
28177,0,6764,0,6398,3,3937,6764,1
22455,0,17763,0,11822,1,13449,17763,1
39055,4,13516,2,18396,15,25633,9746,0
55084,0,19751,1,9754,9,27824,9388,1
25915,2,1582,1,9940,3,9052,1345,1
29123,2,10498,2,2228,3,12852,10498,1
5249,3,8914,0,12735,0,12190,8914,1
15116,0,2546,2,5918,0,14510,1172,1
54908,4,17837,3,18478,8,8926,17837,0
44015,3,16688,2,8546,7,8637,16688,0
31689,3,6112,2,6320,2,13722,6112,0
71638,4,18142,0,18309,12,16561,8825,1
12103,1,1301,2,29,2,12052,1301,1
21021,1,6434,0,13662,0,8858,112,1
29237,1,5511,3,15178,5,20285,10775,0
69414,4,17710,2,6992,11,17841,11009,0
20100,2,21554,3,17073,3,1465,10775,1
37288,5,13251,3,9729,11,19138,13251,0
23560,3,15728,2,10279,12,9815,15728,0
72752,4,28175,1,9632,11,28201,5191,0
49033,4,24727,3,5261,11,18088,14710,0
68409,3,10612,2,13792,4,15332,10612,0
48552,3,28616,3,14198,12,20471,7412,0
30097,4,14639,1,17412,15,10510,14142,0
58027,1,18776,2,19891,12,29858,10775,1
42701,3,29693,3,8023,8,5401,12970,0
27220,3,13997,3,18260,13,13082,10775,1
34609,3,18429,3,4487,10,17023,18429,0
59525,5,19406,1,4860,13,10563,10679,0
30685,0,7231,1,8561,0,14820,7231,1
50311,4,19745,1,19583,5,13536,19745,0
16815,5,16156,2,8473,14,6155,10775,0
58478,1,13315,1,1,9,2736,1867,0
60752,5,17632,3,11915,10,4470,12041,0
56530,3,11227,1,13030,4,14166,11227,0
15123,0,6733,1,13476,1,13783,6733,1
33793,5,9802,3,4550,2,16311,9802,0
28277,0,14369,0,7096,2,6346,8759,1
69728,4,8466,3,16673,2,22412,8466,0
31037,5,11907,3,15065,9,15785,11907,0
53793,5,22555,2,14782,10,5895,22206,0
64311,5,12722,1,5357,5,26455,12722,0
1087,4,19697,3,18864,14,4780,9087,0
20721,2,12197,2,1529,3,8935,11905,1
32034,5,7594,1,11184,10,17462,7594,0
20235,4,29945,2,10318,8,6968,20353,0
10979,0,16371,1,6022,0,6911,9678,1
29266,4,12872,2,4693,3,12948,4942,1
67204,4,18624,1,12443,3,27558,18624,0
32515,1,19855,1,19218,14,11094,10775,1
44279,5,5413,1,19899,5,5040,5413,0
52335,4,29079,1,14158,5,7485,20302,0
31385,3,15039,0,11453,2,8738,1856,1
53493,4,22910,2,18712,8,22336,17182,0
42943,0,4515,2,13178,0,7027,4515,1
48312,5,29329,2,9423,15,18625,14995,0
21643,3,6248,1,4521,3,23867,6248,0
79916,5,26126,1,3210,12,11691,1102,1
35056,5,24488,3,16316,10,22228,1413,1
26457,4,8495,3,8686,13,15043,10775,0
73760,5,14218,2,18482,14,17271,14218,0
22044,5,9357,3,18943,2,2902,10775,0
29384,0,12529,2,6650,3,4779,2208,1
43028,4,25384,3,9995,5,11550,22123,0
70254,1,2541,1,16643,12,16939,7471,1
51847,3,14283,2,19441,6,20044,13342,0
51784,3,17126,1,12088,10,23815,17126,0
34351,5,20978,1,11515,15,4974,6373,0
29541,1,3361,0,3902,1,14399,3361,1
76503,4,27040,3,3562,5,29699,8169,0
4839,0,1449,1,10488,0,12733,136,1
51672,4,15681,3,13579,12,15448,15158,0
12524,0,750,0,1011,3,8768,750,1
74805,4,14782,3,11338,11,4075,14782,0
16777,1,5294,1,725,3,8176,5294,1
55147,4,18692,2,17709,5,19706,18692,0
54307,4,17734,2,9792,13,6148,17734,0
22378,3,13774,2,2672,3,6704,7006,1
62515,3,11011,1,19897,13,168,3254,1
47348,5,17057,1,10984,15,11833,17057,0
31640,2,18511,2,12775,3,11913,10004,1
39858,3,12413,3,15584,12,28470,12413,0
18309,3,8429,1,10895,3,3784,8429,1
11543,1,5178,0,286,0,14068,5178,1
78308,4,27458,3,18400,4,26708,15503,0
73831,5,1826,2,7434,5,22351,2872,0
38258,2,7931,1,3584,3,8514,3304,1
32331,4,19306,1,12778,3,11618,2787,1
32644,0,13815,2,8276,2,15,2602,1
74424,4,15999,2,15984,6,22560,7238,0
15965,3,258,0,5876,1,12835,258,1
21090,5,24761,3,9187,13,12426,18586,0
33573,2,3413,2,4847,1,25721,10775,1
34050,2,16367,1,10090,0,3701,4403,1
66061,0,24350,1,9607,0,7084,10775,0
10028,0,11344,1,5288,2,7377,748,1
9005,3,741,0,195,2,5414,741,1
70472,5,8292,3,14266,7,17737,8292,0
65641,4,14450,2,14676,12,9338,8844,0
78602,4,13015,1,14762,2,16225,13015,0
60935,5,23366,1,10134,5,12640,22660,0
25108,5,22407,3,5791,4,21267,6509,0
73354,3,9199,2,6348,4,16900,9199,0
30366,4,2084,1,4894,2,3760,1818,1
40736,3,5496,2,17438,3,18138,5496,0
43252,3,19804,0,10590,14,13422,8121,0
16012,2,12282,2,11775,1,9290,11709,1
27572,5,18789,3,6091,7,17336,9471,0
37856,4,17038,3,14728,7,8329,7769,0
55580,3,19683,1,18880,9,17505,13920,0
32230,4,4229,1,268,2,9900,4229,1
42557,4,19234,2,14172,2,4920,9939,1
8605,3,14682,0,13780,2,1135,14517,1
39175,4,1887,0,6143,3,4056,1887,1
44600,3,5008,1,5055,3,7937,5008,0
4384,2,18273,2,11019,0,6952,2258,1
18491,4,631,1,393,0,7110,631,1
15416,0,10556,0,253,3,4313,10556,1
20515,0,17673,2,9527,1,10766,15399,1
3108,4,13305,0,8069,3,541,4174,1
45462,5,9379,2,4795,12,14145,9379,0
13709,4,11970,2,4349,1,4034,11970,1
27293,3,16646,1,2140,1,3089,2508,1
17035,0,9565,2,4305,0,14160,9565,1
12531,4,13541,2,14147,0,13769,4252,1
12205,3,4072,1,4958,2,8144,4072,1
26265,4,21976,1,6105,6,8888,10577,0
65453,5,24929,2,9208,2,27630,19573,0
3256,2,20884,2,10914,5,24172,10775,1
76193,5,17285,3,13218,13,13229,7185,0
16896,4,10917,0,14792,1,12535,2691,1
15553,0,20753,1,2592,7,26090,10775,1
39694,4,2613,0,12083,3,11053,2613,1
59220,4,25228,3,5272,6,28499,25228,0
15333,0,12904,0,13436,0,2498,8733,1
7295,4,16634,0,14690,1,2596,15127,1
73843,3,27498,3,18066,10,28775,5204,0
43072,5,14714,2,14971,6,2823,10775,0
59310,3,26827,1,10199,7,28104,22694,0
27239,2,19444,1,13834,0,14765,2176,1
38927,2,1885,2,11162,0,8899,1885,1
69436,3,22850,3,6110,6,7860,20440,0
40007,3,19147,2,4151,0,13347,1519,1
78012,3,26490,1,15805,14,25433,26490,0
40790,5,24241,3,4262,2,5642,17879,0
24839,4,16262,2,8741,0,5337,4761,1
25863,1,1210,1,8245,0,5454,1210,1
22791,5,15652,3,8564,12,12894,15178,0
21225,3,20945,1,18742,5,25454,18041,0
77829,5,19385,1,9950,15,10772,8899,0
56570,1,6552,0,14059,2,221,8177,1
74439,4,10665,1,5503,12,23510,10665,0
50958,3,14400,1,11370,13,23942,13573,0
33515,5,16146,2,16675,12,23201,16146,0
61800,5,11301,1,16919,11,16119,10070,0
43752,5,20118,2,16170,6,27297,15122,0
41825,3,4535,2,4801,3,704,4535,1
20065,4,12097,1,585,10,2890,10775,0
62196,3,9897,1,11850,5,5017,9897,0
72152,5,17619,3,5613,3,19372,9182,0
32598,2,15311,1,11142,3,2979,2038,1
47172,4,29882,1,4934,5,10223,5250,0
69707,5,21991,2,10122,6,13250,6815,0
44622,3,17595,1,11990,5,4739,10775,1
4116,4,19987,0,6593,3,7060,4859,1
19024,0,5442,1,14481,0,12574,5442,1
56358,5,8066,2,5064,8,21671,8066,0
43750,1,4081,0,8825,2,611,3102,1
45893,5,15690,3,15719,4,4631,15690,0
9659,1,13005,0,7530,0,12772,13005,1
37267,3,472,2,440,1,1051,472,1
72843,3,23466,3,13230,8,28927,10223,0
53357,3,9419,3,9375,4,15159,9419,0
10310,4,9148,1,10741,2,4186,8476,1
50610,5,12707,2,5414,3,18103,12707,0
47237,5,8021,3,17390,9,12081,8021,0
20000,5,14031,2,13094,10,7935,14031,0
23305,0,4384,0,465,2,11471,4384,1
26032,2,9052,2,10359,2,7789,9052,1
7225,3,15334,1,6281,1,5728,14335,1
6622,4,5942,0,3772,1,12381,5942,1
24534,3,5984,2,8957,12,29788,5984,0
75210,5,19031,1,9132,6,7968,19031,0
15195,3,6736,1,7383,2,134,6736,1
39134,1,12929,2,469,2,2583,7641,1
7567,4,16112,2,7461,1,5490,7744,1
41351,3,13591,1,14776,3,5893,13591,1
57533,3,14830,1,5180,9,23077,14830,0
27412,2,6096,2,10565,0,6153,6096,1
49688,0,5130,0,8562,11,960,10775,0
42793,5,9091,1,17327,13,22441,9091,0
9304,3,3921,3,7856,4,27660,10775,0
60332,5,15741,2,16718,7,7132,15741,0
43616,3,7112,2,14192,10,15126,7112,0
35457,3,29165,3,12242,12,9943,11485,0
30555,5,17732,3,19993,14,26516,17732,0
20683,4,11877,2,9882,2,11655,8830,1
77612,3,14876,2,8592,14,4791,14876,0
23083,3,2559,1,11460,1,3987,2559,1
7117,3,14807,1,7477,1,3170,12039,1
66930,4,4969,2,4284,6,7130,10775,1
5501,2,18005,1,1106,0,29196,10378,0
23952,5,18275,2,11920,15,27194,18275,0
19540,3,300,2,10208,2,12420,300,1
55414,4,28724,3,7325,4,16841,13178,0
35442,2,4239,1,10438,0,6988,4239,1
58550,5,14936,3,5938,9,24555,14936,0
45780,3,26172,3,19838,2,16453,16983,0
46184,4,8268,1,11928,2,10377,8268,0
56476,4,18736,2,19583,8,19109,18736,0
29436,1,2110,1,14390,9,3118,9602,1
19968,1,21713,2,7105,2,8305,10775,0
65430,3,1788,2,12798,8,22210,7851,0
62555,5,19594,3,9493,6,24360,7453,0
23050,2,6470,0,11364,2,1515,6470,1
18043,4,4667,1,60,3,11622,4667,1
67994,3,28661,2,7031,14,26990,19803,0
27396,3,29631,1,16514,9,28823,10349,0
7691,4,3419,0,5778,0,10690,3419,1
73238,3,17158,1,17032,14,25407,17158,0
969,1,16176,0,13347,5,27943,10775,1
27112,4,6061,1,7567,0,657,6061,1
40500,1,12416,2,5270,2,10309,7103,1
48071,5,7677,2,8685,15,14885,7677,0
29536,5,21046,2,13629,13,3623,2857,1
43444,2,7432,1,859,3,5919,7432,1
20916,3,1644,2,12568,1,8057,1644,1
32730,3,9226,2,13183,3,6714,9226,1
55133,4,14149,2,13702,12,15453,14149,0
37141,5,27797,3,4660,7,20736,15277,0
15146,4,5075,2,8862,3,8883,5075,1
41027,4,29072,3,13795,9,5431,29072,0
77471,3,23025,3,7855,7,4196,7235,0
50275,5,6011,3,14518,10,16167,6011,0
32520,3,15231,3,19434,15,17681,15133,0
75037,0,23521,2,5698,1,14671,10775,1
23261,2,10986,1,5136,0,4811,10757,1
44271,0,10089,0,11350,0,12803,3793,1
26728,5,24573,1,14059,14,10323,8048,0
22953,5,12254,1,17311,4,10226,12254,0
63726,1,7266,0,18186,6,7001,10775,1
11758,2,10365,0,611,2,10123,10365,1
39805,1,11110,0,9474,1,7351,1534,1
76270,5,4028,2,18443,14,6162,8443,0
58504,3,11126,1,10047,15,19065,11126,0
42149,4,25143,2,8899,7,22593,25143,0
37184,3,42,0,11208,3,23245,4093,0
20510,4,22484,1,19885,4,15414,6593,0
32192,5,9299,3,17120,11,8211,9299,0
15697,1,16367,1,9051,5,18987,5805,1
57752,4,20941,3,8718,5,16329,18056,0
41283,3,9878,1,4944,3,11007,7354,1
32673,4,14168,1,12115,1,5287,8672,1
15689,1,10909,0,16206,9,24366,10775,0
4720,2,10220,0,10543,1,10495,10220,1
63450,4,8781,3,9847,9,29161,8781,0
1736,5,20571,2,5567,11,163,10775,1
13401,0,8983,0,6013,0,11845,8983,1
26118,2,19475,0,14039,2,8807,19475,1
71164,5,22423,0,7122,0,3065,10775,0
22111,4,12582,2,16878,11,9740,12582,0
4146,2,1984,0,2688,0,12580,1984,1
37905,5,23825,3,16984,6,12197,23825,0
7851,1,5708,1,8900,0,3695,5708,1
67773,5,18701,2,13213,13,10688,8792,0
